qt_tok_dom_ponto,qt_tok_dom_hifen,qt_tok_dom_underline,qt_tok_dir_ponto,qt_tok_dir_barra,qt_tok_dir_interrog,qt_tok_dir_igualdade,qt_tok_dir_hifen,qt_tok_dir_underline,qt_tok_dir_arroba,qt_tok_dir_exclam,at_tok_dir_til,qt_tok_arq_ponto,qt_tok_arq_interrog,qt_tok_arq_igualdade,qt_tok_arq_hifen,qt_tok_arq_underline,qt_tok_arq_arroba,qt_tok_arq_exclam,at_tok_arq_til,qt_tok_par_ponto,qt_tok_par_barra,qt_tok_par_interrog,qt_tok_par_igualdade,qt_tok_par_hifen,qt_tok_par_underline,qt_tok_par_arroba,qt_tok_par_ecomerc,qt_tok_par_exclam,at_tok_par_til,qt_params,qt_tok_url_ponto,qt_tok_url_barra,qt_tok_url_interrog,qt_tok_url_igualdade,qt_tok_url_hifen,qt_tok_url_underline,qt_tok_url_arroba,qt_tok_url_ecomerc,qt_tok_url_exclam,at_tok_url_til,pres_tld_arg,comp_dominio,comp_diretorio,comp_arquivo,comp_params,comp_url,mal_phi,presenca_marca,ip_assoc,sn_assoc,data_tempo_ativo,geo_localizacao,rank_google,rank_alexa,rbl_check,classe
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,16,0,0,32,0,0,1,0,0,BR,9,-1,5,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,21,0,0,37,0,0,1,0,0,BR,9,-1,5,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,17,0,0,33,0,2,1,0,0,BR,9,-1,5,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,18,0,0,34,0,2,1,0,0,BR,9,-1,5,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,31,0,0,47,0,2,1,0,0,BR,9,-1,5,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,22,0,0,38,0,2,1,0,0,BR,9,-1,5,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,28,0,0,44,0,2,1,0,0,BR,9,-1,5,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,27,0,0,43,0,2,1,0,0,BR,9,-1,5,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,19,0,0,35,0,0,1,0,0,BR,9,4,5,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,19,0,0,35,0,0,1,0,0,BR,9,4,5,benigna
